,city name,country,city id,latitude_deg,longitude_deg,temp_max_F,humidity_%,cloudiness_%,winds speed_mph
439,Kaeo,NZ,2189343,-35.1,173.78,63.0,97,100,13.0
440,Mapiripan,CO,3792394,2.89,-72.13,80.08,79,90,2.24
441,Flin Flon,CA,5954718,54.77,-101.86,35.6,97,90,3.36
442,Rognan,NO,3141548,67.1,15.39,42.01,89,100,9.1
443,Sibolga,ID,1213855,1.74,98.78,76.93,77,93,2.93
444,Aljezur,PT,2271968,37.32,-8.8,55.47,69,100,8.28
445,Morondava,MG,1058381,-20.28,44.28,77.58,80,0,10.47
446,Kambove,CD,923058,-10.88,26.6,63.54,86,50,5.75
447,Sampit,ID,1628884,-2.53,112.95,74.25,98,100,3.06
448,Oum Hadjer,TD,2426370,13.3,19.7,86.38,17,2,15.68
449,Dothan,US,4059102,31.22,-85.39,73.4,27,1,5.82
450,Cayenne,GF,3382160,4.93,-52.33,78.8,88,95,3.36
451,Saint-Joseph,RE,6690296,-21.37,55.62,71.6,60,75,6.93
452,Staroutkinsk,RU,488593,57.23,59.33,32.76,95,68,7.56
453,Simbahan,PH,1695180,6.3,120.58,82.24,74,99,2.26
454,Bartlett,US,4604183,35.2,-89.87,73.99,37,1,6.93
455,Ilulissat,GL,3423146,69.22,-51.1,28.4,74,75,10.29
456,Bacungan,PH,1729456,9.91,118.7,78.4,83,99,3.02
457,Cabedelo,BR,3404558,-6.98,-34.83,82.4,74,0,13.87
458,Doume,CM,2232497,4.23,13.45,71.58,82,57,1.77
459,Glenn Heights,US,4693726,32.55,-96.86,73.99,40,1,11.41
460,Bara,NG,2347758,10.37,10.73,84.27,30,34,11.3
461,Telemaco Borba,BR,3446652,-24.32,-50.62,67.48,68,76,2.91
462,Sawtell,AU,2150163,-30.38,153.1,66.2,72,99,9.17
463,Khingansk,RU,2022454,49.12,131.18,12.76,97,0,4.68
464,Fare,PF,4034496,-16.7,-151.02,79.34,81,64,12.53
465,Neepawa,CA,6086673,50.23,-99.47,64.4,38,20,20.8
466,Dingle,PH,1714733,11.0,122.67,76.26,89,100,1.41
467,Flinders,AU,6255012,-34.58,150.86,62.01,86,100,5.01
468,Nambutalai,IN,1262032,9.72,79.0,81.79,79,100,8.55
469,Yulara,AU,6355222,-25.24,130.99,71.6,49,1,13.87
470,Luwuk,ID,1637001,-0.95,122.79,77.76,75,0,2.53
471,Una,IN,1253783,20.82,71.03,78.17,46,0,5.75
472,Calabozo,VE,3647444,8.92,-67.43,83.14,79,97,6.4
473,Ormara,PK,1168700,25.21,64.64,75.63,76,0,12.84
474,Champerico,GT,3598787,14.3,-91.92,87.8,70,40,6.93
475,Santa Isabel,BR,3450188,-23.32,-46.22,73.4,60,40,10.29
476,Vaitape,PF,4033077,-16.52,-151.75,80.29,77,99,15.39
477,Sotik,KE,179888,-0.68,35.12,58.14,92,66,2.62
478,Kaiyuan,CN,1804850,23.7,103.3,56.64,87,54,3.4
479,Avera,US,4231997,33.19,-82.53,71.6,30,1,9.17
480,Dauphin,CA,5935341,51.15,-100.05,59.0,41,1,20.8
481,Ambon,ID,1651531,-3.7,128.18,81.0,93,84,6.42
482,Homer,US,5864145,59.64,-151.55,21.0,48,1,3.36
483,Hohhot,CN,2036892,40.81,111.65,24.8,68,0,2.24
484,Shingu,JP,1847947,33.73,135.98,45.63,69,0,5.91
485,Umm Kaddadah,SD,364933,13.6,26.69,80.76,19,0,18.3
486,Moron,AR,3430545,-34.65,-58.62,75.99,34,26,5.99
487,Samfya,ZM,899274,-11.36,29.56,76.1,32,0,4.18
488,Bengkulu,ID,1649150,-3.8,102.27,75.49,86,100,3.74
489,Veraval,IN,1253237,20.9,70.37,80.01,58,0,3.56
490,Quatre Cocos,MU,1106643,-20.21,57.76,72.0,83,75,6.93
491,Kortkeros,RU,544397,61.81,51.58,41.0,100,75,6.71
492,Najran,SA,103630,17.49,44.13,64.4,23,0,1.21
493,Kindu,CD,212902,-2.95,25.95,72.59,94,97,1.23
494,Bisho,ZA,1019330,-32.85,27.44,61.12,96,100,5.59
